ID,Age,Gender,Education Level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Emotional Intelligence,Risk Tolerance,Stress Resilience,Decision-Making Style,Motivation Type,Logical Reasoning,Verbal Ability,Numerical Ability,Creativity,Memory/Attention Span,Learning Style,Analytical Thinking,Communication,Leadership,Problem-Solving,Technical/Programming,Artistic/Design,Empathy & Counseling Ability,Negotiation/Persuasion,Entrepreneurial Drive,Domain-Specific Skill,Interests,Preferred Work Environment,Values & Motivators,Career Recommendation
40,39,Female,Undergraduate,3,8,3,6,8,6,9,8,Analytical,Extrinsic,3,6,7,6,10,Visual,8,1,3,2,4,6,8,8,2,Diplomacy,"Public Policy, Environment",Research-driven,"Creativity, Money, Adventure",Cloud Architect
41,30,Female,PhD,7,8,4,3,1,4,10,10,Risk-averse,Mixed,5,8,4,9,10,Reading/Writing,3,10,6,7,4,8,2,8,8,"Teaching Pedagogy, Cybersecurity","Teaching, AI",Research-driven,"Freedom, Stability",Renewable Energy Engineer
42,24,Male,PhD,2,1,2,10,6,10,8,10,Analytical,Mixed,4,7,1,7,8,Kinesthetic,10,3,4,2,6,3,2,3,1,"Renewable Energy Systems, Architecture","Business, Agriculture",Team-oriented,"Recognition, Impact",Curriculum Designer
43,22,Male,Graduate,8,1,4,8,9,5,1,1,Intuitive,Extrinsic,9,7,1,2,7,Kinesthetic,9,5,8,4,3,9,7,6,9,"Hospital Management, Teaching Pedagogy","Business, Public Policy",Independent,"Stability, Adventure, Creativity",HR Specialist
44,23,Male,PhD,6,8,9,4,7,1,4,9,Collaborative,Mixed,3,4,8,2,6,Visual,5,8,7,5,5,1,1,1,7,Surgery,"Social Work, Defense, Teaching, Software",Research-driven,"Innovation, Legacy",Medical Researcher
45,43,Female,Undergraduate,4,7,9,3,9,10,2,2,Risk-averse,Intrinsic,1,3,4,6,5,Visual,7,9,1,2,5,6,8,5,2,"Sports Training, Hospital Management","Media, Environment, Law",Structured/Organized,"Legacy, Recognition, Impact",Agritech Specialist
46,24,Male,Self-taught,7,3,8,10,9,7,9,5,Intuitive,Extrinsic,9,1,8,10,6,Auditory,4,7,4,3,4,6,8,9,10,"Legal Writing, Robotics","Space, Agriculture",Hands-on/Fieldwork,"Service, Adventure, Innovation",Pediatric Surgeon
47,40,Male,Undergraduate,1,6,2,3,3,9,3,6,Risk-averse,Mixed,7,10,9,9,5,Reading/Writing,5,3,10,3,10,3,6,1,10,"Music Composition, Teaching Pedagogy","Finance, Media, Public Policy",Team-oriented,"Service, Creativity",Civil Servant
48,29,Female,High School,4,4,3,10,7,7,8,2,Risk-averse,Intrinsic,2,3,5,8,3,Visual,7,7,5,3,7,6,4,4,2,"Hospital Management, Diplomacy","Business, Software, Art, Science",Hands-on/Fieldwork,"Growth, Legacy",Pediatric Surgeon
49,37,Female,Self-taught,5,3,3,10,2,3,5,1,Analytical,Intrinsic,1,5,2,1,10,Reading/Writing,4,5,5,9,4,8,2,6,6,"Film Direction, Robotics","AI, Research",Flexible Remote,"Money, Recognition, Stability",Digital Content Strategist
50,23,Male,Vocational,4,3,8,1,6,9,4,5,Collaborative,Intrinsic,7,8,10,1,10,Reading/Writing,1,8,8,9,3,8,1,8,2,"Urban Planning, Film Direction","Defense, Politics",Independent,"Legacy, Security, Service",Chef
51,35,Male,Undergraduate,1,2,2,4,3,9,9,3,Analytical,Mixed,1,3,4,1,5,Auditory,4,5,6,4,4,8,4,5,3,"Surgery, Nutrition Science","Science, Sports, Finance",Team-oriented,"Service, Innovation, Legacy",Robotics Engineer
52,24,Male,Graduate,9,7,5,4,4,3,2,6,Risk-averse,Extrinsic,4,2,9,2,8,Auditory,5,5,5,2,10,7,9,1,1,Music Composition,"Hospitality, Finance",Research-driven,"Stability, Creativity",TV Anchor
53,40,Female,High School,3,5,8,9,4,4,7,7,Risk-averse,Extrinsic,3,3,4,7,4,Visual,9,9,6,10,9,6,3,4,6,"Wildlife Conservation, Architecture","Hospitality, Sports, Teaching, Politics",Independent,"Creativity, Adventure, Innovation",Pediatric Surgeon
54,36,Male,PhD,8,4,5,7,2,2,7,6,Intuitive,Mixed,8,6,1,9,4,Reading/Writing,5,6,6,8,4,4,4,7,2,Data Analysis,"Sports, Research, AI, Environment",Independent,"Recognition, Stability, Impact",Game Concept Artist
55,22,Female,Graduate,3,10,7,9,3,2,4,9,Analytical,Mixed,7,8,7,9,9,Kinesthetic,5,8,3,7,8,5,10,10,2,"Fashion Design, Astrophysics","Agriculture, Design",Independent,"Legacy, Money, Recognition",Tax Advisor
56,16,Female,Vocational,9,10,6,6,4,6,1,1,Risk-averse,Intrinsic,10,7,10,10,3,Auditory,4,2,5,1,1,10,6,8,6,Renewable Energy Systems,"Media, AI, Politics",Independent,"Money, Creativity",Special Education Specialist
57,32,Male,Self-taught,4,8,1,7,6,3,5,7,Analytical,Mixed,8,5,10,2,6,Kinesthetic,7,5,3,5,6,4,3,1,7,Journalism,"Business, Space",Research-driven,"Creativity, Money, Security",Special Education Specialist
58,19,Male,High School,5,1,2,9,8,9,8,8,Collaborative,Extrinsic,5,5,8,6,9,Reading/Writing,5,2,4,1,6,4,5,2,3,Urban Planning,"Design, Hospitality, Agriculture, Space",Flexible Remote,"Freedom, Legacy",Supply Chain Manager
59,25,Male,Undergraduate,1,4,3,4,9,5,2,5,Risk-averse,Extrinsic,8,10,9,4,6,Kinesthetic,1,3,10,4,10,2,4,5,1,Journalism,"AI, Finance, Medicine, Social Work",Structured/Organized,"Service, Growth, Impact",Corporate Trainer
60,34,Female,Vocational,9,2,1,4,5,5,9,9,Analytical,Extrinsic,6,1,8,9,9,Reading/Writing,6,4,6,8,3,3,3,7,4,"Data Analysis, Hospital Management","AI, Social Work",Fast-paced,"Recognition, Adventure",Neuroscience Postdoc
61,45,Female,High School,4,2,10,10,3,10,7,7,Risk-averse,Mixed,9,2,7,9,1,Visual,10,4,5,8,6,3,6,8,6,"Sports Training, Wildlife Conservation","Defense, Media, Social Work",Independent,"Money, Legacy",University Lecturer
62,30,Female,Undergraduate,8,9,3,2,9,7,2,8,Risk-averse,Mixed,4,7,8,7,9,Kinesthetic,5,9,5,2,6,2,1,4,6,Music Composition,"Science, Business, Finance",Team-oriented,"Stability, Money",Corporate Trainer
63,21,Male,Undergraduate,8,4,2,2,1,2,1,6,Risk-averse,Mixed,4,10,3,5,5,Kinesthetic,7,3,4,2,1,2,1,1,8,Hospital Management,"Design, Teaching, AI",Independent,"Freedom, Security",Digital Content Strategist
64,27,Female,Graduate,7,9,2,5,8,5,8,2,Intuitive,Mixed,5,8,10,5,9,Reading/Writing,5,6,4,7,10,4,4,3,6,Nutrition Science,"Software, Science",Flexible Remote,"Security, Freedom, Recognition",Environmental Policy Consultant
65,21,Male,Undergraduate,8,4,1,8,6,8,1,6,Analytical,Mixed,1,3,3,10,8,Kinesthetic,8,10,4,4,7,2,9,7,8,"Hospital Management, Teaching Pedagogy","Environment, Law",Research-driven,"Money, Security",Marketing Strategist
66,26,Female,Undergraduate,1,2,1,9,2,7,10,10,Analytical,Intrinsic,1,7,1,5,10,Kinesthetic,10,6,3,5,5,5,5,3,9,Journalism,"Business, AI, Hospitality",Structured/Organized,"Adventure, Freedom, Legacy",Product Manager
67,30,Male,Vocational,3,7,3,1,2,1,7,8,Risk-averse,Mixed,1,8,6,9,7,Kinesthetic,10,7,7,3,5,3,4,9,4,"Wildlife Conservation, Journalism","Finance, Business, Media, Teaching",Fast-paced,"Innovation, Money",HR Specialist
68,18,Male,Undergraduate,9,8,5,1,3,4,2,9,Collaborative,Intrinsic,5,7,1,3,2,Kinesthetic,2,5,7,1,2,5,5,1,3,Film Direction,"Sports, Finance, Art",Independent,"Security, Adventure, Stability",Venture Capital Analyst
69,25,Male,High School,8,10,9,10,7,5,10,2,Analytical,Extrinsic,8,4,1,5,10,Reading/Writing,3,1,1,5,10,10,3,4,9,"Wildlife Conservation, Fashion Design","Law, Software, Media, Space",Research-driven,"Freedom, Stability, Growth",Sports Analyst
70,29,Female,Vocational,8,5,7,7,8,1,3,7,Collaborative,Extrinsic,9,1,1,5,4,Visual,4,7,8,9,7,3,3,5,7,"Music Composition, Data Analysis","Space, Science",Flexible Remote,"Freedom, Service",Cybersecurity Analyst
71,28,Female,High School,6,7,2,2,2,4,1,7,Collaborative,Intrinsic,1,10,3,9,2,Visual,7,7,6,10,6,10,6,7,5,"Renewable Energy Systems, Data Analysis","Social Work, Politics, Agriculture, Literature",Fast-paced,"Impact, Creativity",Diplomatic Advisor
72,19,Male,Vocational,9,2,2,8,1,3,4,10,Risk-averse,Mixed,5,4,6,9,3,Kinesthetic,10,1,6,2,3,3,9,6,9,Renewable Energy Systems,"Medicine, Software",Structured/Organized,"Stability, Freedom",Media Producer
73,44,Male,High School,7,8,3,6,8,4,6,7,Intuitive,Intrinsic,6,8,10,9,3,Visual,5,2,4,6,8,3,2,8,7,Nutrition Science,"Social Work, Research, Medicine",Hands-on/Fieldwork,"Impact, Growth",University Lecturer
74,41,Male,Graduate,9,5,6,8,4,5,7,2,Collaborative,Mixed,7,4,8,10,5,Reading/Writing,3,7,6,6,2,6,4,4,6,"Fashion Design, Urban Planning","Social Work, Space, Defense, Literature",Independent,"Service, Stability, Money",Agritech Specialist
75,34,Female,Self-taught,6,10,7,3,8,9,2,7,Risk-averse,Mixed,8,3,5,5,6,Auditory,3,3,7,2,10,4,3,7,2,"Urban Planning, Astrophysics","Public Policy, Social Work",Flexible Remote,"Security, Creativity",Data Scientist
76,36,Male,Undergraduate,10,10,4,1,10,1,3,4,Collaborative,Mixed,1,6,2,2,9,Visual,5,5,3,3,3,4,10,6,7,"Nutrition Science, Fashion Design","Business, Defense",Hands-on/Fieldwork,"Innovation, Service",Investigative Journalist
77,29,Male,PhD,5,1,5,4,2,9,3,2,Risk-averse,Mixed,10,5,5,10,5,Reading/Writing,9,6,5,10,6,4,5,5,10,Renewable Energy Systems,"Literature, Agriculture, Science, Law",Research-driven,"Stability, Security",Investment Banker
78,27,Female,Undergraduate,7,10,2,2,1,8,3,7,Risk-averse,Extrinsic,9,7,9,3,5,Visual,7,2,5,3,1,2,8,1,6,Journalism,"Business, Art",Independent,"Adventure, Service, Legacy",AR/VR Developer
79,23,Male,Vocational,7,3,2,5,3,2,8,3,Collaborative,Extrinsic,2,5,8,8,1,Auditory,9,6,4,1,5,2,2,1,3,"Teaching Pedagogy, Wildlife Conservation","Media, Environment",Hands-on/Fieldwork,"Innovation, Service",eSports Manager
80,30,Male,Undergraduate,6,2,6,9,2,8,1,3,Intuitive,Mixed,5,1,5,6,7,Visual,7,3,8,3,2,6,5,3,3,"Cybersecurity, Sports Training","Sports, Design, Law",Flexible Remote,"Recognition, Innovation, Service",Marketing Strategist
81,20,Male,PhD,8,9,5,8,10,10,7,1,Analytical,Intrinsic,5,5,7,4,1,Visual,6,8,6,4,1,8,5,6,1,"Sports Training, Architecture","Politics, Science, Agriculture",Fast-paced,"Adventure, Stability",Venture Capital Analyst
82,37,Female,Vocational,9,5,5,10,7,3,5,6,Risk-averse,Extrinsic,8,4,6,5,1,Reading/Writing,10,5,8,5,8,2,7,10,10,Astrophysics,"Software, Public Policy",Creative/Artistic,"Freedom, Security",Corporate Lawyer
83,25,Male,High School,6,2,8,5,5,1,9,1,Risk-averse,Extrinsic,2,9,2,8,7,Visual,2,7,6,1,9,7,3,8,10,Architecture,"Art, Hospitality",Independent,"Security, Impact, Innovation",Marketing Strategist
84,23,Male,Graduate,5,2,7,3,9,6,5,3,Collaborative,Intrinsic,7,6,9,10,3,Reading/Writing,4,4,2,10,1,9,7,8,9,Renewable Energy Systems,"Space, Law, Business",Independent,"Legacy, Freedom, Adventure",Robotics Engineer
85,43,Female,Graduate,9,6,6,8,3,8,1,7,Analytical,Intrinsic,6,7,10,3,4,Auditory,3,7,10,8,1,6,7,4,10,Teaching Pedagogy,"Defense, Medicine, Hospitality, AI",Hands-on/Fieldwork,"Impact, Legacy",Robotics Engineer
86,16,Male,Undergraduate,8,4,2,1,8,4,1,8,Intuitive,Intrinsic,4,6,8,3,2,Visual,8,1,1,6,5,4,7,9,2,Cybersecurity,"Defense, Space, Design, Research",Fast-paced,"Legacy, Growth",Investigative Journalist
87,29,Female,High School,7,9,6,9,7,9,1,3,Risk-averse,Intrinsic,10,6,2,3,3,Kinesthetic,4,8,2,10,4,10,7,6,10,Robotics,"Defense, Design, Hospitality, AI",Fast-paced,"Creativity, Innovation, Adventure",Game Concept Artist
88,45,Male,Self-taught,4,3,9,2,2,9,5,5,Intuitive,Extrinsic,4,3,4,10,7,Reading/Writing,6,5,9,4,8,8,2,1,3,Cybersecurity,"Politics, Space, Design",Independent,"Stability, Innovation, Security",Quantitative Analyst
89,42,Male,Self-taught,4,3,6,3,7,1,8,8,Analytical,Extrinsic,4,4,2,10,10,Visual,3,1,7,7,1,3,9,2,6,Legal Writing,"Law, Teaching, Agriculture",Creative/Artistic,"Impact, Service",Investment Banker
90,38,Male,Undergraduate,3,4,3,10,2,4,7,10,Intuitive,Intrinsic,3,3,4,5,2,Visual,6,3,6,2,8,4,2,5,4,"Teaching Pedagogy, Film Direction","AI, Science, Literature, Environment",Hands-on/Fieldwork,"Creativity, Service, Innovation",Sports Physiotherapist
91,19,Female,High School,6,9,1,1,2,2,5,8,Collaborative,Mixed,5,8,4,9,6,Kinesthetic,1,9,3,7,7,7,8,2,2,Cybersecurity,"Medicine, Politics, Environment, AI",Independent,"Innovation, Service, Stability",Diplomatic Advisor
92,41,Female,PhD,6,9,1,7,9,9,5,1,Collaborative,Intrinsic,6,10,2,9,7,Kinesthetic,9,1,3,8,9,5,3,1,9,"Hospital Management, Diplomacy","Public Policy, Literature",Research-driven,"Impact, Freedom, Money",Cloud Architect
93,45,Male,PhD,1,3,2,4,8,3,8,7,Collaborative,Intrinsic,9,10,4,3,6,Auditory,7,8,5,6,1,4,5,3,8,Music Composition,"Defense, Design, Teaching",Structured/Organized,"Security, Innovation, Money",Nutritionist
94,25,Male,PhD,1,2,2,2,4,5,4,3,Risk-averse,Mixed,4,10,3,2,7,Kinesthetic,2,9,10,4,7,7,8,7,7,"Wildlife Conservation, Sports Training","Design, Law, Space",Team-oriented,"Adventure, Money",Supply Chain Manager
95,19,Male,Graduate,1,9,10,5,1,3,8,1,Collaborative,Mixed,5,4,9,6,4,Visual,6,1,2,3,8,7,3,1,6,Diplomacy,"Hospitality, Teaching",Team-oriented,"Service, Creativity",Climate Scientist
96,21,Female,Undergraduate,6,2,4,8,2,4,8,5,Collaborative,Intrinsic,4,6,7,3,8,Kinesthetic,9,6,9,3,7,8,1,8,2,Architecture,"Business, Politics",Fast-paced,"Impact, Growth",Hotel Manager
97,20,Male,Undergraduate,10,7,7,7,5,3,10,5,Collaborative,Mixed,1,2,7,7,4,Reading/Writing,10,4,5,7,1,8,10,3,3,"Film Direction, Robotics","Defense, Social Work",Structured/Organized,"Security, Growth",Pilot
98,29,Female,Undergraduate,4,7,1,4,6,7,3,2,Collaborative,Extrinsic,3,3,10,7,6,Kinesthetic,2,4,9,4,3,10,8,3,9,"Film Direction, Urban Planning","AI, Media",Fast-paced,"Service, Freedom, Creativity",Wildlife Conservationist
99,38,Male,Undergraduate,3,3,10,2,8,9,9,9,Analytical,Extrinsic,6,3,4,7,9,Auditory,4,6,4,4,6,7,6,6,10,"Cybersecurity, Music Composition","Medicine, Politics",Research-driven,"Creativity, Money, Impact",Cyber-Forensics Expert
100,44,Male,PhD,6,5,1,8,9,6,2,7,Analytical,Mixed,1,4,8,3,2,Visual,5,3,10,6,2,3,1,3,5,Cybersecurity,"Law, Hospitality, Teaching, Environment",Team-oriented,"Service, Security",Human Rights Advocate
101,36,Male,PhD,2,7,2,3,3,9,10,5,Analytical,Mixed,3,10,2,4,7,Visual,4,8,7,6,9,6,7,5,8,Fashion Design,"Space, Environment",Independent,"Creativity, Security",Corporate Lawyer
102,16,Female,Vocational,10,6,1,3,7,6,4,9,Risk-averse,Mixed,9,9,1,5,10,Reading/Writing,6,10,2,9,3,6,1,4,8,Teaching Pedagogy,"Space, Finance, Teaching",Research-driven,"Service, Innovation",Corporate Lawyer
103,32,Male,Graduate,1,1,5,1,8,5,9,6,Collaborative,Mixed,10,4,5,8,2,Auditory,9,6,6,9,2,8,4,2,4,"Legal Writing, Music Composition","Social Work, Sports",Independent,"Legacy, Creativity",Military Strategist
104,20,Male,PhD,1,6,9,8,8,8,1,10,Collaborative,Extrinsic,6,9,2,2,5,Kinesthetic,3,1,8,8,7,7,3,3,9,Sports Training,"Public Policy, Finance",Flexible Remote,"Impact, Creativity",Investigative Journalist
105,22,Female,Self-taught,3,3,7,5,10,9,2,9,Collaborative,Mixed,5,7,4,9,6,Auditory,9,1,9,10,5,3,1,9,9,Wildlife Conservation,"Agriculture, Social Work, Teaching",Research-driven,"Service, Adventure",Wildlife Conservationist
106,23,Male,PhD,1,1,6,3,3,1,3,9,Intuitive,Mixed,1,2,4,2,4,Kinesthetic,10,3,2,2,1,3,3,5,8,"Music Composition, Hospital Management","Software, Law, Business, Public Policy",Team-oriented,"Service, Creativity",Biomedical Engineer
107,38,Female,Undergraduate,9,7,6,8,2,9,3,6,Risk-averse,Extrinsic,7,9,10,10,6,Visual,10,6,9,4,1,4,8,7,8,"Teaching Pedagogy, Data Analysis","Environment, Politics",Hands-on/Fieldwork,"Freedom, Impact",Human Rights Advocate
